sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate,sra_id
NP_WCE,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006806/SRR006806.fastq.gz,,1,WCE,,,SRR006806
NP_H3K9me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006805/SRR006805.fastq.gz,,1,H3K9me3,NP_WCE,1,SRR006805
NP_H3K9me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006848/SRR006848.fastq.gz,,2,H3K9me3,NP_WCE,1,SRR006848
NP_H3K9me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006849/SRR006849.fastq.gz,,3,H3K9me3,NP_WCE,1,SRR006849
NP_H3K4me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006888/SRR006888.fastq.gz,,1,H3K4me3,NP_WCE,1,SRR006888
NP_H3K4me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006889/SRR006889.fastq.gz,,2,H3K4me3,NP_WCE,1,SRR006889
NP_H3K36me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007333/SRR007333.fastq.gz,,1,H3K36me3,NP_WCE,1,SRR007333
NP_H3K36me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007334/SRR007334.fastq.gz,,2,H3K36me3,NP_WCE,1,SRR007334
NP_H3K27me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007425/SRR007425.fastq.gz,,1,H3K27me3,NP_WCE,1,SRR007425
NP_H3K27me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007426/SRR007426.fastq.gz,,2,H3K27me3,NP_WCE,1,SRR007426
MEF_WCE,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007427/SRR007427.fastq.gz,,1,WCE,,,SRR007427
MEF_WCE,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007428/SRR007428.fastq.gz,,2,WCE,,,SRR007428
MEF_H3K9me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007429/SRR007429.fastq.gz,,1,H3K9me3,MEF_WCE,1,SRR007429
MEF_H3K9me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007430/SRR007430.fastq.gz,,2,H3K9me3,MEF_WCE,1,SRR007430
MEF_H3K4me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006799/SRR006799.fastq.gz,,1,H3K4me3,MEF_WCE,1,SRR006799
MEF_H3K4me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006835/SRR006835.fastq.gz,,2,H3K4me3,MEF_WCE,1,SRR006835
MEF_H3K4me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006836/SRR006836.fastq.gz,,3,H3K4me3,MEF_WCE,1,SRR006836
MEF_H3K4me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006837/SRR006837.fastq.gz,,4,H3K4me3,MEF_WCE,1,SRR006837
MEF_H3K4me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006838/SRR006838.fastq.gz,,5,H3K4me3,MEF_WCE,1,SRR006838
MEF_H3K36me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007431/SRR007431.fastq.gz,,1,H3K36me3,MEF_WCE,1,SRR007431
MEF_H3K36me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR007/SRR007432/SRR007432.fastq.gz,,2,H3K36me3,MEF_WCE,2,SRR007432
MEF_H3K27me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006797/SRR006797.fastq.gz,,1,H3K27me3,MEF_WCE,2,SRR006797
MEF_H3K27me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006822/SRR006822.fastq.gz,,2,H3K27me3,MEF_WCE,2,SRR006822
MEF_H3K27me3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006823/SRR006823.fastq.gz,,3,H3K27me3,MEF_WCE,2,SRR006823
